Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Battle of Corrichie;1562;1;500;220;0.4400000000000000000
Battle of Brentford;1642;1;1300;570;0.4384615384615384615
Battle of Agincourt;1415;1;24000;10500;0.4375000000000000000
Battle of Kolín;1757;0;32000;14000;0.4375000000000000000
Battle of Kunersdorf;1759;0;51000;22212;0.4355294117647058823
Battle of Dungans Hill;1647;0;6900;3000;0.4347826086956521739
Battle of Quebec;1775;0;1200;515;0.4291666666666666666
Battle of Knocknanuss;1647;0;7000;3000;0.4285714285714285714
Battle of Bitonto;1734;1;10500;4500;0.4285714285714285714
Battle of the Dunes;1658;1;14000;6000;0.4285714285714285714
Battle of the Spurs;1513;0;7000;3000;0.4285714285714285714
Battle of Bannockburn;1314;1;18000;7700;0.4277777777777777777
Battle of Trebbia (1799);1799;1;33000;14000;0.4242424242424242424
Battle of Gemauerthof;1705;1;11600;4900;0.4224137931034482758
Battle of Kunersdorf;1759;1;65000;27362;0.4209538461538461538
Battle of Gembloux;1578;0;25000;10500;0.4200000000000000000
Battle of Benburb;1646;1;6000;2500;0.4166666666666666666
Battle of Abukir (1799);1799;1;18000;7500;0.4166666666666666666
Battle of Villafranca;1744;1;8000;3330;0.4162500000000000000
Battle of Zorndorf;1758;1;43500;18000;0.4137931034482758620
Battle of Poitiers;1356;1;11000;4500;0.4090909090909090909
Battle of Poltava;1709;0;24000;9800;0.4083333333333333333
Battle of Eutaw Springs;1781;1;2000;812;0.4060000000000000000
Battle of Cravant;1423;0;4000;1600;0.4000000000000000000
Battle of Cascina;1364;1;5000;2000;0.4000000000000000000
Battle of Buxar;1764;0;40000;16000;0.4000000000000000000
Battle of Pinkie Cleugh;1547;0;30000;12000;0.4000000000000000000
Battle of Maidstone;1648;0;2000;800;0.4000000000000000000
Second Battle of St Albans;1461;1;10000;4000;0.4000000000000000000
Battle of Valcour Island;1776;0;500;200;0.4000000000000000000
Battle of St.Fagans;1648;0;8000;3200;0.4000000000000000000
Battle of Castagnaro;1387;0;14000;5500;0.3928571428571428571
Battle of Loano;1795;1;18000;7000;0.3888888888888888888
