Name;Year;TotalStrength
Battle of Baia;1467;32000
Battle of Barnet;1471;32000
Battle of Jankau;1645;32000
Battle of Dreux;1562;32000
Battle of Gravelines;1558;32000
Battle of Çıldır;1578;32000
Battle of Agincourt;1415;31500
Battle of Lepanto;1571;31000
Battle of Lützen;1632;31000
Battle of Jüterbog;1644;31000
Battle of Friedlingen;1702;31000
Battle of Bassano;1796;31000
Siege of Cuzco;1536;30700
Siege of Noda Castle;1573;30500
Battle of Mondovì;1796;30500
Battle of Wijnendale;1708;30500
Battle of Brandywine;1777;30100
Battle of Long Island;1776;30000
Battle of San Lorenzo de la Muga;1794;30000
Battle of Hummelshof;1702;30000
Siege of Mount Hiei;1571;30000
Battle of Mimasetōge;1569;30000
Battle of Kallo;1638;30000
Battle of Nördlingen;1645;30000
Battle of Losecoat Field;1470;30000
Battle of Vyšehrad;1419;30000
Battle of Roosebeke;1382;30000
Battle of Ceresole;1544;29850
Siege of Calais;1558;29500
Battle of Fraustadt;1706;29400
Battle of Montebello;1800;29000
Battle of Temmokuzan;1582;29000
Battle of Honnecourt;1642;29000
Battle of the Dunes;1658;29000
First Battle of Newbury;1643;28500
Battle of Ballinamuck;1798;28350
Battle of the Lines of Elvas;1659;28000
Battle of Kōnodai;1564;28000
Battle of Okehazama;1560;28000
Battle of Mingolsheim;1622;28000
Battle of Breadfield;1479;28000
Battle of Nicopolis;1396;28000
Battle of Shrewsbury;1403;28000
Siege of Yorktown;1781;27900
Battle of Helsingborg;1710;27900
Battle of Homildon Hill;1402;27500
Second Battle of Newbury;1644;27500
Siege of Smolensk;1609;27000
Battle of Ivry;1590;27000
Fourth Battle of Kawanakajima;1561;27000
Battle of Jemmingen;1568;27000
Battle of Molinella;1467;27000
Crossing of the Düna;1701;27000
Battle of Lodi;1796;27000
Siege of Fort Zeelandia
(1661–1662);1661;26900
Battle of Reichenberg;1757;26500
Battle of Zieleńce;1792;26000
Battle of Lwów;1675;26000
Siege of Leiden;1573;26000
Battle of Edgehill;1642;25900
Battle of Abukir (1799);1799;25700
Battle of Monmouth;1778;25500
Sack of Rome;1527;25500
Battle of Bannockburn;1314;25500
Battle of Peritheorion;1345;25300
Siege of Haarlem;1572;25275
Battle of Kircholm;1605;25200
Battle of Wimpfen;1622;25000
Battle of Vimory;1587;25000
Battle of Breitenfeld;1642;25000
Battle of Landskrona;1677;25000
Battle of Bileća;1388;25000
Battle of Brustem;1467;25000
Second Battle of St Albans;1461;25000
Battle of Lubiszewo;1577;24500
Battle of Bitonto;1734;24500
Siege of Pilsen;1618;24158
Siege of Groningen;1672;24000
Battle of Wakefield;1460;24000
Battle of Nancy;1477;24000
Battle of Obertyn;1531;24000
Battle of Verneuil;1424;24000
Battle of Lipany;1434;23700
Battle of Wayna Daga;1543;23700
Battle of La Motta;1513;23500
Battle of Alcântara;1580;23300
Battle of Dunbar (1650);1650;23000
Battle of Castagnaro;1387;22600
Battle of Mons-en-Pévèle;1304;22200
Battle of Faughart;1318;22000
Battle of Halidon Hill;1333;22000
Battle of Fleurus;1622;22000
Battle of Callantsoog;1799;22000
Battle of Carillon;1758;21600
The Siege of Busan Castle;1592;21600
Battle of Polonka;1660;21500
Battle of Germantown;1777;21100
Battle of Maciejowice;1794;21000
Battle of Żarnów;1655;21000
Siege of Malmö;1677;21000
Battle of Naseby;1645;20400
Battle of Lund;1676;20300
Battle of Nieuwpoort;1600;20300
Battle of Byeokjegwan;1593;20000
Battle of Cascina;1364;20000
Battle of Zagonara;1424;20000
Battle of Meaux;1421;20000
Battle of Krbava Field;1493;20000
Battle of Stoke Field;1487;20000
Battle of Sangju;1592;19700
Battle of Manila;1762;19300
Battles of Saratoga;1777;19000
Capture of Cadiz;1596;19000
Battle of Solway Moss;1542;19000
Siege of Charleston;1780;18966
Siege of Pyongyang;1592;18700
Battle of Gemauerthof;1705;18600
Battle of Arbedo;1422;18500
Battle of Neville's Cross;1346;18500
Battle of the Golden Spurs;1302;18500
Battle of Montenotte;1796;18250
Battle of Sheriffmuir;1715;18000
Battle of Bothwell Bridge;1679;18000
Battle of Cropredy Bridge;1644;18000
Battle of Dirschau;1627;17900
Siege of Hulst;1645;17750
Battle of Preston;1648;17600
Battle of Poitiers;1356;17000
Battle of Toro;1476;17000
Battle of Castillon;1453;16500
Battle of Saint-Omer;1340;16500
Battle of Isokyro;1714;16500
Second Battle of Athenry;1316;16000
Battle of Brunkeberg;1471;16000
Battle of Nowy Dwór;1655;16000
Battle of Rathmines;1649;16000
Recapture of Bahia;1625;16000
Siege of Odani;1573;16000
Battle of Gangut;1714;15941
Battle of Prague;1648;15500
Second Battle of Panipat;1556;15000
Siege of Troitse-Sergiyeva Lavra;1608;15000
Battle of Blore Heath;1459;15000
Battle of Bosworth;1485;15000
Battle of Sezawa;1542;15000
Siege of Arai;1516;15000
Battle of Cassel;1328;15000
Battle of Montiel;1369;15000
Battle of Culloden;1746;15000
Battle of Falkirk Muir;1746;15000
Siege of Shimoda;1590;14600
Battle of Fehrbellin;1675;14500
Battle of Hemmingstedt;1500;14500
Siege of Orléans;1428;14400
Battle of Stångebro;1598;14200
Battle of Sisak;1593;14000
Siege of Breda;1624;14000
Siege of Ichijōdani Castle;1573;14000
Battle of Frankenhausen;1525;14000
Battle of Brihuega;1710;14000
Battle of Beauport;1759;14000
Battle of Mookerheyde;1574;13900
Battle of Coutras;1587;13600
Battle of Wisternitz;1619;13500
Battle of Adwalton Moor;1643;13500
Battle of Caen;1346;13500
Warsaw Uprising of 1794;1794;13500
Battle of Dungans Hill;1647;12900
Siege of Hachigata;1568;12800
Battle of Byczyna (Pitschen);1588;12500
Battle of Dupplin Moor;1332;12250
Battle of Knocknanuss;1647;12200
Battle of Prostken;1656;12000
Battle of Öland;1676;12000
Battle of Glenlivet;1594;12000
Battle of Płowce
Part of Polish-Teutonic War (1326–1332);1331;12000
Battle of Cravant;1423;12000
Battle of New Ross (1798);1798;12000
Battle of the Thousand Islands;1760;12000
Battle of Ticonderoga;1759;11776
Battle of Arklow (1798);1798;11700
Battle of Warsaw;1705;11500
Battle of Auray;1364;11500
Battle of Turnhout;1597;11300
Battle of Kilsyth;1645;11300
Battle of Trzciana;1629;11300
Battle of Benburb;1646;11000
Attack on Brest;1694;11000
Battle of Hedgley Moor;1464;11000
Battle of the Assunpink Creek;1777;11000
Siege of Fort Ticonderoga (1777);1777;10800
Siege of Tripoli;1551;10800
Siege of Pensacola;1781;10500
Siege of Fort William Henry;1757;10500
Siege of Takatō;1545;10100
Battle of Formigny;1450;10100
Battle of Uedahara;1548;10000
Battle of Pelekanon;1329;10000
Battle of Harlaw;1411;10000
Battle of Górzno;1629;10000
Battle of Lansdowne;1643;10000
Battle of Langside;1568;10000
Relief of Goes;1572;10000
Battle of Millesimo;1796;9988
Battle of Tippermuir;1644;9950
Battle of St.Fagans;1648;9900
Battle of Morgarten;1315;9500
Battle of Tewkesbury;1471;9500
Battle of Brouwershaven;1426;9200
Battle of Baugé;1421;9000
Battle of Kappel;1531;9000
Battle of Un no Kuchi;1536;9000
Battle of the Yellow Ford;1598;9000
Battle of Sainte-Foy;1760;8800
Battle of Uddevalla;1677;8600
Battle of Blanchetaque;1346;8500
Battle of Auberoche;1345;8500
Battle of Ponza;1435;8400
Battle of Cocherel;1364;8250
Siege of Savannah;1779;8250
Battle of White Plains;1776;8100
Battle of Roundway Down;1643;8100
Battle of Busanpo;1592;8000
Battle of Kashii;1615;8000
Battle of Jargeau;1429;8000
Siege of Fukuyo;1542;8000
Battle of Pollilur;1780;8000
Battle of Castlebar;1798;8000
Battle of Racławice;1794;8000
Battle of the Plains of Abraham;1759;7800
Battle of Ancrum Moor;1545;7700
Battle of Philiphaugh;1645;7700
Battle of Methven;1306;7500
Battle of Springfield;1780;7500
Battle of Heiligerlee (1568);1568;7320
Siege of Fukashi;1549;7200
Sieges of Toishi;1550;7000
First Battle of St Albans;1455;7000
Battle of Bapheus;1302;7000
Battle of Champtoceaux;1341;7000
Battle of Sedgemoor;1685;7000
Battle of Casteldelfino;1744;7000
Battle of Harlem Heights;1776;6800
Battle of Guilford Court House;1781;6600
Battle of Foulksmills;1798;6500
Battle of Mello;1358;6500
Battle of Meung-sur-Loire;1429;6500
Battle of Patay;1429;6500
